x,y
1742.045287,-3154.395242
1749.045697,-3166.388618
1777.047338,-3167.388066
1779.047455,-3176.383098
1773.047103,-3239.348321
779.0396042,-3271.308024
790.0402487,-3271.308024
989.0003905,-3022.166778
1053.051673,-2988.399106
896.0424749,-2944.423395
854.0400143,-2949.420635
1269.666787,-3465.332475
1268.5,-3456.5
2280.031344,-4206.236814
2287.031754,-4199.240678
2376.036968,-4094.29864
2383.037378,-4100.295328
2064.334565,-3951.080836
2061.66699,-3938.415513
2067.666599,-3950.747622
2628.049915,-4263.286495
2633.050208,-4254.291464
1159.000195,-3700.166778
1166.499609,-3696.833191
1164.333409,-3695.499268
1167.5,-3695.166047
2575.035679,-2663.353289
2587.036382,-2660.354945
454.0534305,-4633.279319
350.0473376,-4646.272143
2966.076103,-4068.259999
2971.333213,-4061.167648
2972.833213,-4056.999634
2962.333409,-4055.832001
2972.333409,-4049.166931
2855.0696,-4292.136348
2859.069835,-4281.14242
2853.069483,-4274.146284
2809.066905,-4293.135796
2817.067374,-4303.130275
2815.067257,-4284.140764
2821.067608,-4293.135796
2793.065968,-4274.146284
2788.065675,-4265.151252
2780.065206,-4261.15346
2790.065792,-4255.156772
2791.065851,-4225.173333
2795.066085,-4213.179957
2804.066612,-4221.175541
2740.062863,-4187.194309
2737.000787,-4178.998903
2749,-4189.996708
2717.061515,-4119.231846
2722.061808,-4130.225774
2730.062277,-4138.221358
2782.065324,-4084.251167
2790.065792,-4099.242886
2827.667192,-4062.8331
2834.833784,-4060.666199
2855.0696,-4054.267727
2793.065968,-4163.207557
2805.066671,-4132.22467
2813.06714,-4125.228534
2824.067784,-4169.204245
2833.068311,-4182.197069
2836.068487,-4174.201485
2835.068429,-4162.208109
1690.099391,-3934.977181
1636.086642,-3941.977459
1630.085226,-3887.975312
1634.08617,-3877.974914
1620.60771,-3788.35743
1552.066811,-3763.970382
1559.068464,-3761.970303
1563.069408,-3759.970223
1552.066811,-3754.970025
1556.067756,-3752.969945
1561.068936,-3750.969866
1661.041648,-3776.087392
1694.050522,-3750.96911
1697.05123,-3742.968792
1692.500295,-3740.497988
1715.25,-3758.5
1713.875,-3756.75
1738.800796,-3755.599998
1736.501303,-3747.899986
1737.199725,-3762.200005
1768.207808,-3894.667796
1780.167095,-3868.834852
1774.458735,-3867.29033
1771.084272,-3910.416786
1774.292038,-3886.410842
1673.0687,-3325.98378
1677.069644,-3414.987318
1677.069644,-3403.986881
1688.072241,-3395.986563
1744.085462,-3392.986443
1753.087586,-3401.986801
1757.088531,-3345.984575
1775.09278,-3370.985569
1786.095377,-3366.98541
1775.09278,-3440.988352
1789.096085,-3444.988511
1797.097974,-3451.988789
1798.09821,-3437.988232
1801.00059,-3418.501646
1790.096322,-3409.987119
1797.500295,-3402.500915
1198.108126,-3121.972847
1141.094669,-3077.971098
1048.072713,-3087.971496
1048.072713,-3074.970979
1038.070352,-3065.970621
2192.5,-4744.001463
2396.167012,-4788.333572
2328.666787,-4622.332856
2201.333213,-4506.998171
2050.666021,-4529.165696
1945.999805,-4531.998537
2098.666411,-4402.000366
2017.499609,-4293.500732
2266.333573,-4389.667541
2352.833604,-4407
2453.332222,-4383.998171
2418.332792,-4488.333557
2465.499805,-4607.667159
2689.333213,-4722.166778
2819.499805,-4737.666413
2875.333378,-4738.000366
2988.499414,-4620.998903
2511.999805,-4380.333191
2264.663287,-4278.500732
2269.000781,-4278.333222
2449.145663,-3208.97567
2440.143538,-3200.975352
2455.147079,-3191.974994
2233.999414,-3318.333466
2225.001172,-3327.332367
2242.66506,-3316.325383
2234.166201,-3324.332703
2416.137872,-3340.980918
2428.140705,-3353.981434
2182.082629,-3425.984297
2326.116625,-3407.983581
2335.118749,-3403.983422
2325.116389,-3390.982905
2300.836142,-3458.833206
544.1012793,-4550.984257
556.1041122,-4567.984933
564.1060009,-4557.984535
556.1041122,-4543.983979
400.8333781,-4622.166413
411.9994142,-4620.663852
409.3353612,-4616.996342
411.1667867,-4610.832856
305.0448556,-4742.99189
317.0476886,-4756.992447
315.0472164,-4744.991969
275.0377732,-4699.99018
270.0365927,-4687.989703
288.0408422,-4678.989346
291.0415505,-4696.990061
44.98347425,-4511.982706
43.98323816,-4526.983303
-42.16662193,-4312.16751
-44.33279228,-4307
-44.16737246,-4301.166809
80.99197321,-4233.971655
70.98961238,-4219.971098
86.9933897,-4219.971098
134.6689651,-4154.329929
161.0108598,-4128.96748
156.3347449,-4138.335782
163.3331828,-4137.670071
170.9998047,-4211.668242
173.3341897,-4200.666047
419.0670473,-4221.975471
415.066103,-4215.975233
422.0677556,-4210.975034
575.6667867,-4211
581,-4208.332337
579.5001953,-4199.166534
571.5,-4205.666534
-42.83318281,-4319.000732
1826.999607,-3803.998537
1833.000787,-3790.998903
1834.499312,-3822.502744
1839.500492,-3801.006585
1799.502065,-3751.500183
1788.821177,-3745.982269
1791.504031,-3734.001829
1820.99882,-3918.49872
1733.99941,-3979.998171
1423.912227,-3393.982508
1043.050988,-3448.984694
1125.021124,-3379.981951
1233,-3077.999634
1237.001573,-3085.002561
586.0001966,-3047.500915
603.4999017,-3053
600.6664038,-3043.5
620.0013765,-3008.001829
648,-3026.001829
664.502458,-3073.994513
751.4994142,-3020.497439
702.5001953,-2953.500732
700.6665914,-2940.500732
692.1662009,-2936.499634
2227.500688,-3095.999268
2233.00177,-3096.994147
2784.999414,-2899.830888
2781.666622,-2893.999634
3236.78075,-2775.974
2112.666687,-3666.666626
2124.333344,-3667.666687
2222.00236,-4138.506402
2242.000983,-4156.502012
2240.499705,-4145.497622
1985.91077,-4265.974755
2113.921697,-4525.979486
2801.999607,-4802.994147
2636.99941,-4083.002926
2638.00118,-4075.002926
2625.500295,-4080.500183
2463.668154,-3064.998171
3241.752707,-2759.976743
1806.85869,-3394.979685
1037.835016,-3565.987755
1000.800003,-3925.200034
1001.150002,-3933.000549
2759.835381,-2651.973523
-290.7083509,-122.9837004
-295.7110171,-112.9833028
-291.7088841,-105.9830245
-280.7030186,-105.9830245
-274.6998192,-117.9835016
-1160.329308,345.6718998
-1162.332988,343.6671442
-1164.997852,342.3281002
-391.8640263,-464.9838594
-511.8208346,221.0194005
-1382.905618,-2437.980242
-411.0017574,-2123.334654
-589.8554946,-1804.970939
-86.81976818,-2787.980242
-77.81496911,-2791.980401
793.053323,-2708.978333
794.0538563,-2698.977936
804.0591886,-2697.977896
856,-2125
856,-2117.166413
728.1663961,-1989.666794
821.8332133,-1893.833587
968.263949,-1946.981633
850,-1729.5
858.1666219,-1632.665681
861.9996095,-1635.332825
1610.173833,-218.9764649
1609.1733,-206.9759879
857,-1733
1047.066964,-1727.354393
1078.06878,-1728.353841
1074.068546,-1720.358257
1083.069073,-1713.362121
1092.0696,-1724.356049
1089.069425,-1736.349425
-1065.163858,364.6711681
-1049.667372,276.8339532
-890.6662009,437.1686075
-604.6663961,348.9996342
-471.1510095,119.7104065
-650.4996095,37.00036581
-644.6663961,42.83175833
-573.9988284,-153.6700707
-1084.996095,98.83942507
-789.3483982,-424.8539336
-957.6496717,-358.4225875
-1127.500195,-500.6667784
-580.8326275,-626.1653305
-949.1638932,-1124.503217
-950.5781896,-1114.609187
-1183.998633,-1096
-998.8314559,-1240.495244
-1039.834174,-1241.163882
-665.6668019,-1207.5
-530.5321542,-971.8524644
-519.2177828,-967.6121657
-527.7035613,-961.9584342
-448.5029621,-1019.909183
-445.6743692,-971.8524644
-1182.522802,-1270.086806
-1265.942014,-1348.567248
-1066.5,-1375.000366
-909.5393176,-1365.528442
-908.3314254,-1450.833206
232.0445204,-923.0592611
-773.4184617,473.2121388
-956.2110993,-1535.14039
-943.4824315,-1535.14039
-782.2526401,-1669.416515
-746.8952298,-1699.098606
-627.3330028,-1700.166778
-676.180409,-1881.43145
-649.3087771,-1885.671748
-538.9936567,-1878.604584
-514.8341591,-1996.33688
-827.5,-2386.501463
-742.6523405,-2405.815054
-752.5524154,-2400.161322
-1248.332628,-2354.001829
-1490.815144,-2154.223999
-1496.47233,-2147.156834
-1674.254499,-2302.246159
-1658.586435,-2291.828093
-1620.500488,-2283.581934
-1894.833183,-1881.664965
-1892.666396,-1874.33028
-1873.999414,-1821.5
-1868.000195,-1818
-1901.497852,-1778.666062
-1893.000195,-1701.666077
-1922.175551,-1704.752338
-1909.446883,-1711.819502
-1920.761255,-1693.444874
-1909.446883,-1696.27174
-1898.500391,-1652.833191
-1983.497852,-1646.836483
-1998.333378,-1781.666794
-1966.332792,-1825.998537
-1448.502163,-1664.505487
-1442.499902,-1663
-1305.833213,-2447
-1413.030416,-2451.667098
-901,-2533.000732
-892.6663961,-2534.33467
-1091.985129,-2879.937265
-589.0005858,-2953.166428
-586.5046864,-2952.995244
-498.3339944,-3207.332841
-502.5007811,-3205.332841
-159.5014748,-3249.998354
-152.4948873,-3255.510791
-152.9988201,-3247.499817
-1552.190722,-2600.105894
-1550.67284,-2617.349127
-85.04203977,-2795.147685
-89.28492901,-2785.253655
817.8331828,-2669.166565
821.8339944,-2664.502928
841.8339944,-2696.837126
910.6226369,-2703.274547
909.2083405,-2687.726785
919.1084154,-2687.726785
976.5847602,-1962.660758
1408.382644,-781.3403606
1768.333183,-589.8321241
1548.397989,-358.7239247
1814.500197,-488.5071372
1782.999803,-481.999817
1786.000787,-450.498902
718.1666219,-2013.5
-188.973109,-2390.23571
1459.033746,-724.0607216
1455.033511,-718.0640337
1462.033921,-716.0651377
1647.04476,-466.2031413
1642.044467,-459.2070054
1564.039897,-383.2489585
1560.039663,-375.2533746
1581.040893,-339.2732471
1616.042944,-243.3262405
1611.042651,-234.3312086
1608,-216.9990855
1620.043178,-229.3339687
1618.043061,-221.3383848
1616.042944,-217.3405929
1611.042651,-191.3549453
-510.9625049,-2866.232398
-506.9622705,-2859.236262
-436.9581695,-2910.208109
-430.957818,-2902.212526
-426.9575836,-2897.215286
-422.9573493,-2889.219702
-844.0082606,365.6456068
-842.0081435,372.6417427
-1168.027243,347.655543
-925.0130061,46.82169935
-926.9994101,56.49871967
-921.4999017,53.50201195
-676.9984768,33.82887554
-641.9964262,71.80789899
-632.995899,72.80734698
-519.9892787,206.733377
-518.9892202,228.7212327
-504.9883999,231.7195767
-248.9734019,-91.10212266
-252.9736362,-87.10433072
-247.9733433,-85.10543475
-228.9722302,-30.13579554
-224.9719958,-32.13469151
-234.9725817,-18.14241971
-399.9822484,-462.8967733
-414.9831272,-454.9011894
-390.9817211,-434.9122297
-411.9829514,-405.9282381
-858.0090808,-410.9254781
-853.0087879,-414.92327
-871.0098425,-395.9337583
-851.0086707,-401.9304462
-861.0092566,-392.9354143
-854.0088465,-394.9343103
-973.0158183,-358.9541828
-967.0154667,-358.9541828
-958.0149395,-363.9514227
-954.0147051,-365.9503187
-1311.243329,-918.4324222
-844.5255118,-1006.065262
-845.9398082,-993.3443657
-366.5,-1202
-375.5,-1214
-388.5,-1198.5
-461.2511832,-1348.116023
-459.8368868,-1342.462291
-455.5939975,-1326.914529
-1032.626935,-1602.533944
-1652.088765,-1297.232438
-1052.954713,-1692.438851
-1187.962622,-1641.467004
-1176.961978,-1636.469764
-1301.969301,-1700.434435
-1400.975101,-1716.425603
-1445.977737,-1744.410147
-1455.978323,-1854.349425
-1236.654891,-1230.190556
-1397.974925,-1910.318512
-1264.967133,-1910.318512
-1269.967426,-1905.321272
-1251.966372,-1921.31244
-1255.966606,-1919.313544
-1176.961978,-1836.359361
-1164.961275,-1941.3014
-1124.958931,-2006.265519
-889.9451634,-2047.242886
-811.9405937,-2100.21363
-852.9429957,-2164.178301
-1038.953893,-2171.174437
-673.9325088,-2322.091082
-1176.961978,-2231.141316
-1279.968012,-2185.166708
-941.6652551,-1159.667175
-1230.340017,-1231.008414
-1535.98301,-1954.294224
-1424.976507,-2136.193757
-1471.979261,-2119.203141
-1320.970414,-2079.225222
-1291.968715,-2054.239022
-1561.984533,-1920.312992
-1400.975101,-1968.286495
-1414.975921,-1951.29588
-1474.979436,-2039.247302
-1356.972523,-2118.203693
-993.9512563,-1954.294224
-403.9166905,-2136.193757
-1633.988751,-2309.098259
-1627.9884,-2306.099915
-1630.988576,-2298.104331
-1627.9884,-2285.111507
-1645.989454,-2282.113163
-1665.990626,-2300.103227
-1676.991271,-2290.108747
-1677.5,-2279
-868.9439331,-2423.035329
-862.9435816,-2421.036433
-993.9998047,-2573
-1012.336502,-1692
-1311.969887,-2650.90947
-1314.970062,-2637.916646
-1541.013182,-2609.254479
253.0546609,-2901.253375
258.0549538,-2900.253927
856.0009763,-2130.501829
850.6667867,-2125.168257
969.0576488,-1981.440507
968.0575902,-1973.444924
976.0580589,-1981.440507
976.0580589,-1969.447132
979.0582346,-1958.453204
694.0415376,-2011.423947
585.0351517,-1994.433331
825.0492123,-1776.55367
540.0396042,-1382.363777
554.0404244,-1378.365986
785.0338042,-694.3290006
769.0328668,-682.3356248
774.0331597,-682.3356248
-483.9775615,-548.2163896
-486.9777373,-462.2638629
-522.9798464,-497.2445424
-566.9824242,-473.2577907
-700.3334086,-272.1667937
-731.9920909,-216.3996584
-649.9872868,-185.4167709
-685.9893959,-135.4443716
-631.9862323,30.46399403
-672.9886343,33.46233798
-669.9884585,39.4590259
-630.9861737,66.44412151
-652.9874626,69.44246546
-801.9961919,114.4176248
-811.9967778,132.4076886
-819.9972465,103.423697
-802.9962505,393.2636128
-1078.012362,242.346967
-1089.000195,258.5
-1106.332628,249.1666718
-1062.011424,113.4181768
-1057.011131,124.4121047
-1148.016463,47.45460978
-1180.018337,54.45074568
-1178.01822,15.47227424
-1170.017752,10.47503431
-1196.019275,9.475586328
-1161.017224,29.46454604
-1162.017283,39.4590259
-1228.02115,43.45681784
-1228.02115,48.45405777
-1219.020622,53.45129769
-1337.993087,-928.2848394
-1331.992735,-916.2914636
-1027.501172,-1024.500732
-937.9696524,-1159.157324
-844.9414725,-1494.182717
-833.940828,-1499.179957
-721.9342664,-1650.096603
-904.3332133,-1720.332856
-940.9470967,-1764.033673
-1707.992032,-1532.16174
-1717.992618,-1521.167812
-612.9278805,-1840.991168
-617.9281734,-1831.996136
-611.9278219,-1828.997792
-692.6666219,-1901.000732
-690.9324502,-1895.960807
-1453.965727,-2288.279319
-1454.965786,-2183.337281
-1493.968071,-2248.3014
-1516.500098,-2250.498903
-1544.971058,-2241.305264
-1532.970355,-2235.308576
-1541.970883,-2226.313544
-1527.970062,-2218.31796
-1511.499705,-2223.500366
-1570.972582,-2191.332865
-1607.500098,-2198.498537
-1625.975804,-2182.337833
-1607.974749,-2150.355497
-1587.973578,-2279.284287
-1585.97346,-2260.294776
-1587.973578,-2241.305264
-1606.974691,-2239.306368
-1642.9768,-2246.302504
-1651.977327,-2282.282631
-1673.978616,-2293.276559
-1690.979612,-2342.249511
-1629.976038,-2421.205901
-1559.971937,-2444.193205
-1650.500295,-2220.999451
-1650.500295,-2220.999451
-1661.500492,-2193.999085
-756.9248926,-2461.183821
-752.9246582,-2456.186581
-194.9617433,-2404.925478
-201.9621534,-2390.933206
-206.9624463,-2369.944799
-203.9622705,-2368.945351
-193.9616847,-2363.948111
-187.9613332,-2369.944799
-172.9604544,-2383.93707
-181.9637227,-4583.757127
355.3137461,-4832.012344
-201.0129175,-4479.70259
298.0299687,-4495.895032
337.0501201,-4496.896061
388.0764718,-4492.891944
480.1240084,-4463.8621
220.9560804,-4407.700532
196.9436795,-4384.676862
-8.162244313,-4405.698473
17.85118993,-4318.608942
36.86100726,-4262.551312
53.86979119,-4238.526614
-39.17826206,-4215.502944
64.87547491,-4176.462809
55.08163886,-4089.704648
202.157594,-4288.909439
242.1782621,-4280.901206
193.1529437,-4064.67892
273.1942798,-4076.69127
239.176712,-4123.739637
315.2159813,-4036.650106
388.2537005,-4228.847693
485.3038206,-4313.935167
403.261451,-4010.623349
1171.43577,-4386.902623
983.5338825,-4083.745129
970.5406668,-4004.704066
581.9582502,-3586.83263
1106.772985,-3893.996362
1151.550018,-3718.005778
1151.199982,-3715.149085
986.83561,-3588.837828
1304.669654,-3686.888767
1367.636776,-3532.80872
1460.895625,-3051.983367
1476.887275,-3060.988045
1484.8831,-3053.984407
1488.881013,-3049.982327
2143.723407,-4415.268208
2147.9666,-3039.870054
2321.015656,-4423.863297
2336.007828,-4426.864857
2587.876316,-4572.940745
2699.978603,-4704.937106
2935.982778,-3819.715159
2698.885188,-4707.933988
2693.887797,-4713.937106
2694.887275,-4705.932948
2698.885188,-4700.930349
2690.889363,-4699.929829
2421.965556,-4541.85602
2415.968688,-4531.850822
2418.967122,-4525.847704
2329.014091,-4425.795726
2325.016178,-4430.798324
2326.015656,-4421.793646
2315.021397,-4419.792607
2324.0167,-4412.788968
2252.333604,-2940.000732
1331.936853,-3697.898642
1327.938941,-3703.901761
1320.942594,-3680.889806
1303.951466,-3695.897603
1309.948335,-3690.895004
1312.946769,-3685.892405
1119.048012,-3742.922033
1114.050622,-3743.922552
1116.049578,-4368.246897
1111.052187,-4371.248456
1098.936332,-3852.792087
1089.990606,-4173.987525
1087.99165,-4188.995322
1085.992694,-4182.992203
1060.950422,-4331.863817
1049.956163,-4346.871614
1051.955119,-4337.866936
1054.953553,-4335.865896
1055.953031,-4327.861738
1050.955641,-4324.860179
1058.951466,-4318.85706
1010.976516,-3844.610683
1003.980169,-3847.612242
971.9446815,-3579.846144
937.0036531,-4446.231303
924.0104375,-4442.229224
843.7197542,-3882.914756
836.7234074,-3885.916315
819.8982348,-2859.332141
811.9024098,-2861.33318
777.6662161,-3676.333587
711.3336039,-3033.667525
645,-3066.925151
558.3331828,-2952.833587
516.0673216,-3026.90436
513.0688872,-3031.906959
501.0751497,-4154.490155
198.2332772,-4186.506788
152.2572833,-4086.454809
1012.104896,-4504.074329
1009.106462,-4488.066012
867.0003933,-2022.001097
1201.818146,-1562.870342
422.5747931,-729.8907933
-679.3365328,-595.3339532
1485,-381.0014632
1487,-341
1448,-344
1460.000393,-319.5023778
-955,-399
-1014,-363
-123.0003933,-1159
-1006.002163,-1478.998903
-944.9960642,-2010.340172
-965.577772,-2187.154202
-98,-2910
621.3335733,-2242.332475
1096,-1362
1711,-495
607,-674
541.0003905,-968.0007316
-1136,-545
-911.4973453,-1004.498354
116.8333781,-2954.166778
442,-2735
212,-1532
790,-1468
1872.999803,-568.5082307
1849.166982,-469.1667784
1853.999805,-476.3310267
1846.999219,-476.8328253
-80.8852351,-1128.699018
817.4995084,-646.4946958
821.4992134,-646.9998171
-509.3920835,224.6971533
-648.4989185,362.5049384
-1182.833213,331.0047555
-1200,364
-896.500295,-198.4972564
-904.0057026,-196.9926798
-899.4994101,-201.9987197
-1144,-1114
-821.9964604,-1303.504207
-1023,-1214
-916,-1404
-557,-1756
-615.4575445,-2001.976669
-1940,-1604
-1825,-1764
-1663,-1459
1162,-620
-823,361
-849,-180
-1139,-616
-707,-663
979,-1458
-157,-1097
140,-2944
-42.70230319,-3069.702476
-159,-2635
-324,-2661
-472.5006882,-2689.499451
672.9993989,-2818
712,-2604
922,-2158
438.499705,-2168.00695
589.9998034,-1960.004756
1358,-1558
563,-1398
640.9887914,-1362.514084
1739,-708
1878.000787,-588
1880.998624,-564.50567
-111,-630
-249,-348
-233,-252
-214,-105
-612,-126
-703,-154
-707,315
-694,306
-897,292
-1157.997837,382
-1190.002163,349.001829
-1125.25,91.75
-1071,86
-752,-1118
-314,-1320
-711.6242058,-1339.448396
-1042,-1434
-1479,-1517
-1774.500295,-1270.997439
-1501,-1590
-1529,-1612
-1558,-1634
-278,-1534
-384,-1666
-119,-1706
-453,-1947
-706.9978369,-2125.498354
-858.5012782,-2320.002195
-556,-1712
131,-1440
290,-2228
-275,-2943
-278,-2934
-267.4995084,-2936.998171
700,-2053
816,-1885
60,-2458
-102.6656303,-4425.66751
-95.1669972,-4124.998903
-68.6665914,-4349.666413
-91.3334086,-4329.833587
-73.66701246,-4273.5
-42.33337807,-4355.33249
-13.96880699,-4298.76644
-6.666786669,-4260.501463
-1.333018066,-4507.667525
2.700004578,-4017.525075
10.1671772,-4016.5
17.66660667,-4001.667175
18.5,-4384.664599
22.00039053,-4096.833191
40.33438492,-4090.167876
46.3337686,-4086.833557
53,-4083.498903
35.66698193,-4577.833206
38.49980474,-4241.665696
34.33298754,-4220.166656
40.99980474,-4152.833344
54.00175738,-4322.998903
65.49980474,-4324
58.99980474,-4492.167541
73.33458018,-4209.833344
70.66642666,-4445.335782
90.83301807,-4686.833572
103.9986331,-4465.332841
139.6677935,-4743.499634
142.0001953,-4597.833587
151.1662009,-4376.167144
162.6671772,-4186.666809
173,-4098.666778
198.2999878,-4220.199851
215.9086722,-4168.712041
220.5003905,-4480.333222
229.901366,-4298.779612
247,-4453.000732
250.8328228,-4220.333587
251.3332133,-4084.833953
268.8330181,-4318.665436
271.9996095,-4186
293.3334086,-4735.833572
291.6662009,-4892.333206
289.0003905,-4473.332733
280.6663961,-4454.66655
295.5832957,-4426.250549
319.4994142,-4549.166794
321.962947,-4626.04886
321.8334086,-4230.499634
326.3333781,-4294.999634
353.9749501,-4132.805082
344.6665914,-4096.666413
335.0007811,-4085.002195
331.6664267,-4351.833069
354.9744282,-4375.931389
350.8337991,-4357.667891
383.8332133,-4766.5
389.6663961,-4515.999634
399.3332133,-4416.166184
397.3336039,-4405.666916
403.5,-4324.5
402.0001953,-4469.166534
412.9441596,-4661.079527
437.9996095,-4117.334304
448.6666067,-4814.833572
459.5,-4295.665802
465.9697314,-4490.88045
491.1662161,-3681.664584
491.9999695,-4039.5
